users_id,users_screen_name,users_location,users_followers_count,users_friends_count,users_verified,tweets_id,retweets_count,favorites_count,langs,tweets_full_text
1084925004100321286,celinasouzzaa,"São Paulo, Brasil",38,185,False,1390719614074638342,0,0,pt,@bancointer aonde foi parar o extrato bancário
1168936597406060544,w1gmascarenhas,,35,491,False,1390719157080055814,0,0,pt,@bancointer vcs são feras!!!
1266496591822807041,Adriele43718603,,116,170,False,1390718645576339457,0,0,pt,a competição meu pai kkkkk adorooo https://t.co/zzq4hifoam
936699643915915265,miladarkz,"Rio de Janeiro, Brasil",544,237,False,1390718624994926593,0,0,pt,não gente mas esse aqui kkkkklkkkkkkkk https://t.co/ebqedhgvt8
631552523,carlao_r,"Porto Alegre, Brasil",27,935,False,1390718513267068931,0,0,pt,@leandro00207875 @bancointer @interinvest raizão!
1051199079399723008,aninhaam_13,"Vespasiano, Brasil",1467,1537,False,1390718109024231425,0,0,pt,@bancointer o pai vai da aulas na publi em
1340656846307270659,debcomentss,🧢. .🍦. 🦘..🛠,751,465,False,1390717993068474369,0,2,pt,e essa disputa https://t.co/ttfvupurqp
615333391,BiancaM19624133,,1,81,False,1390717777892331523,0,0,pt,@bancointer enquanto não conseguir cancelar minha conta vou ficar postando mal do banco. pelo amor de deus preciso cancelar por email não tenho como ligar.
1371823693303799809,ludmaria12,🎮🦋,101,155,False,1390717755536642053,0,0,pt,eu amo o banco inter não da kkkkkkkk https://t.co/pjcfn8bmxa
49486356,keunsdean,🍦ˢᵈᵖ ∙ 🎮🕵🏼🎓 ∙ 🐺,977,185,False,1390717713228632067,0,0,pt,mais um https://t.co/d1ho0qfds8
1283229031132004353,meubemcarthur,,205,156,False,1390717572031688705,1,1,pt,"falta só o itaú, bradesco e santander entrar na disputa https://t.co/xfjswjbefs"
1370585941430140929,AnaFlaviaroiiis,,185,337,False,1390717514808766468,0,0,pt,eeeitaaaa garotooo ❤❤ ta sendo disputado meu filhooo https://t.co/whkjp8gdzz
1311440415845998592,Maktube48628000,,142,147,False,1390717509834313732,0,0,pt,"ah não véi kkkkkkk o 3° banco kkkkk 
a treta com fiuk"" é isso mesmo que vc ouviu"" kkkkkkkk https://t.co/3c2okqqr3m"
1318575964373344261,comentlet,🤍,1476,766,False,1390717448043773952,0,4,pt,a competição meu pai https://t.co/friomcd3jt
1372496379151593473,ga_reality10,,305,333,False,1390717425658777600,0,1,pt,"esse é aulas, cria. https://t.co/gn5m9pe0jt"
